City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
614,Savalou,BJ,75.9,scattered clouds,7.9281,1.9756,Hotel F&F
616,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
619,Les Cayes,HT,85.41,broken clouds,18.2,-73.75,Villa Orphee
621,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
623,Iztapa,GT,89.65,scattered clouds,13.9333,-90.7075,Villas de Puerto Viejo
625,Keti Bandar,PK,80.06,clear sky,24.1447,67.4497,Haji laloo memon house
626,Biak,ID,77.14,overcast clouds,-0.9131,122.8766,Penginapan Kim
627,Jardim,BR,78.4,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
636,Camocim,BR,82.67,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
638,Waddan,LY,79.16,clear sky,29.1614,16.139,محل الشريف محمد العايب
640,Garissa,KE,79.34,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
645,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
647,Kupang,ID,75.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
648,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
650,Morant Bay,JM,87.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
652,Kot Addu,PK,80.46,clear sky,30.4692,70.9671,Mohammad Ayub General Store
656,Havelock,US,77.99,overcast clouds,34.8791,-76.9013,Sherwood Motel
660,Bang Saphan,TH,78.71,light rain,11.2126,99.5117,Ladawan Boutique Hotel
665,Gushikawa,JP,82.4,light rain,26.3544,127.8686,Kirari Guest House
667,Talitay,PH,75.7,overcast clouds,7.0333,124.7,Jokria amino andie
677,Lompoc,US,85.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
678,Biltine,TD,89.37,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
680,Qui Nhon,VN,77.9,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
682,Dayong,CN,82.89,broken clouds,25.0209,118.2898,Haiyue Express Hotel
685,Gorontalo,ID,76.5,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
686,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
