City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Tura,IN,2021-10-09 04:54:11,25.5198,90.2201,86.45,60,6,3.02
194,Pevek,RU,2021-10-09 04:54:12,69.7008,170.3133,25.48,77,100,0.83
195,Tateyama,JP,2021-10-09 04:54:12,34.9833,139.8667,79.07,77,65,10.6
196,Gweta,BW,2021-10-09 04:54:13,-20.1833,25.2333,79.18,30,0,5.59
197,Tasiilaq,GL,2021-10-09 04:54:13,65.6145,-37.6368,30.58,82,100,2.37
198,Fortuna,US,2021-10-09 04:53:46,40.5982,-124.1573,54.66,63,97,3.44
199,Kurumkan,RU,2021-10-09 04:54:13,54.3,110.3,42.53,55,44,1.7
200,Lata,PT,2021-10-09 04:54:14,40.1629,-8.3327,61.81,89,91,1.3
201,Ostrovnoy,RU,2021-10-09 04:54:14,68.0531,39.5131,34.83,86,98,4.36
202,Cabo San Lucas,MX,2021-10-09 04:54:14,22.8909,-109.9124,81.61,71,5,6.58
203,San Quintin,MX,2021-10-09 04:54:15,30.4833,-115.95,66.65,78,6,16.22
204,Champerico,GT,2021-10-09 04:54:15,14.3,-91.9167,83.35,80,85,2.57
205,Pontivy,FR,2021-10-09 04:52:08,48.0,-3.0,48.78,89,6,4.61
206,Stony Point,US,2021-10-09 04:54:16,41.2295,-73.9871,66.54,80,98,6.24
207,Russell,US,2021-10-09 04:51:26,32.3502,-85.1999,69.08,91,1,4.61
208,Poltava,UA,2021-10-09 04:54:16,49.5937,34.5407,36.95,39,35,11.52
209,Andenes,NO,2021-10-09 04:54:16,69.3143,16.1194,48.18,93,75,18.41
210,Salalah,OM,2021-10-09 04:54:17,17.0151,54.0924,82.94,68,15,4.47
211,Riohacha,CO,2021-10-09 04:54:17,11.5444,-72.9072,79.34,83,31,7.87
212,Videira,BR,2021-10-09 04:54:17,-27.0083,-51.1517,57.49,98,100,4.56
213,Esperance,AU,2021-10-09 04:54:18,-33.8667,121.9,58.84,56,97,13.49
214,Baniyas,SY,2021-10-09 04:54:18,35.1819,35.9487,66.49,27,0,2.95
215,San Antonio,US,2021-10-09 04:49:54,29.4241,-98.4936,76.1,70,1,1.01
216,Ugoofaaru,MV,2021-10-09 04:54:18,5.6667,73.0,83.21,78,85,16.35
217,Bandarbeyla,SO,2021-10-09 04:54:19,9.4942,50.8122,81.91,71,26,20.2
218,Bathsheba,BB,2021-10-09 04:54:19,13.2167,-59.5167,81.21,78,40,21.85
219,Huntsville,US,2021-10-09 04:51:25,34.7304,-86.5861,66.96,96,1,1.01
220,Lodja,CD,2021-10-09 04:54:20,-3.4833,23.4333,70.36,95,88,1.54
221,Bam,IR,2021-10-09 04:54:20,29.106,58.357,76.89,24,0,9.19
222,Airai,TL,2021-10-09 04:54:20,-8.9266,125.4092,82.67,25,40,6.71
223,Prince Rupert,CA,2021-10-09 04:54:21,54.3161,-130.3201,47.89,88,90,19.57
224,Acapulco,MX,2021-10-09 04:49:56,16.8634,-99.8901,79.7,83,100,3.62
225,Miquelon,PM,2021-10-09 04:54:21,47.0975,-56.3814,48.07,65,26,35.81
226,Zaysan,KZ,2021-10-09 04:54:21,47.4667,84.8667,44.64,37,0,4.59
227,San Carlos,VE,2021-10-09 04:54:22,9.6612,-68.5827,74.5,93,100,2.42
228,Oborniki,PL,2021-10-09 04:54:22,52.6474,16.8141,40.15,64,0,7.65
229,Jimma,ET,2021-10-09 04:54:22,7.6667,36.8333,62.74,95,99,1.16
230,Manokwari,ID,2021-10-09 04:54:23,-0.8667,134.0833,83.86,78,74,7.09
231,Oranjemund,NA,2021-10-09 04:54:23,-28.55,16.4333,56.37,81,56,6.96
232,Saint-Leu,RE,2021-10-09 04:54:23,-21.15,55.2833,74.23,68,6,7.74
233,Doha,QA,2021-10-09 04:50:00,25.2867,51.5333,93.18,50,0,10.36
234,Mountain Home,US,2021-10-09 04:54:24,43.133,-115.6912,51.28,93,90,5.75
235,Geraldton,AU,2021-10-09 04:54:24,-28.7667,114.6,72.01,35,1,19.57
236,Talnakh,RU,2021-10-09 04:54:25,69.4865,88.3972,28.81,90,100,6.98
237,Hambantota,LK,2021-10-09 04:54:25,6.1241,81.1185,88.14,74,40,12.66
238,Novokizhinginsk,RU,2021-10-09 04:54:26,51.6115,109.5917,38.89,56,98,10.27
239,Srednekolymsk,RU,2021-10-09 04:54:26,67.45,153.6833,20.03,83,80,2.04
240,Nishihara,JP,2021-10-09 04:54:26,26.1842,127.7558,86.05,77,40,13.8
