City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Batticaloa,LK,7.7102,81.6924,79.95,75,100,3.69,light rain
196,Sijunjung,ID,-0.6876,100.9537,72.68,98,97,0.96,overcast clouds
197,Hithadhoo,MV,-0.6,73.0833,82.72,68,99,15.14,overcast clouds
198,Fort Nelson,CA,58.8053,-122.7002,38.01,82,100,4.56,overcast clouds
199,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,70.81,76,42,10.98,scattered clouds
200,Nelson Bay,AU,-32.7167,152.15,58.1,96,100,3.0,overcast clouds
201,Batagay-Alyta,RU,67.8006,130.4114,24.85,80,98,2.26,overcast clouds
202,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.83,64,100,1.59,overcast clouds
203,Katima Mulilo,NA,-17.5,24.2667,72.34,55,6,13.27,clear sky
204,Acacoyagua,MX,15.35,-92.65,77.77,93,77,1.5,broken clouds
205,Vardo,NO,70.3705,31.1107,44.35,90,100,7.63,overcast clouds
206,Khandbari,NP,27.3747,87.2039,65.75,84,7,3.94,clear sky
207,East London,ZA,-33.0153,27.9116,59.4,68,13,18.57,few clouds
208,San Rafael,AR,-34.6177,-68.3301,65.12,48,32,5.79,scattered clouds
209,Hami,CN,42.8,93.45,45.5,27,2,5.41,clear sky
210,Kaitangata,NZ,-46.2817,169.8464,53.67,76,100,5.75,overcast clouds
211,Lapua,FI,62.9693,23.0088,51.51,81,100,12.48,overcast clouds
212,Yerbogachen,RU,61.2767,108.0108,30.22,84,100,11.12,overcast clouds
213,Ngunguru,NZ,-35.6167,174.5,67.15,55,50,8.08,scattered clouds
214,Nacala,MZ,-14.5428,40.6728,71.92,92,3,4.45,clear sky
215,Meulaboh,ID,4.1363,96.1285,76.17,86,100,3.0,overcast clouds
216,Berdigestyakh,RU,62.0989,126.6992,32.94,82,96,10.22,overcast clouds
217,Hammerfest,NO,70.6634,23.6821,43.25,100,90,3.44,light intensity drizzle
218,Semey,KZ,50.4111,80.2275,46.62,66,75,6.71,light rain
219,Bud,US,39.447,-86.1758,77.34,74,45,9.86,scattered clouds
220,Tombouctou,ML,20.0,-3.0,86.5,11,90,9.75,overcast clouds
221,Lebu,CL,-37.6167,-73.65,50.52,88,9,13.24,clear sky
222,Upernavik,GL,72.7868,-56.1549,33.33,97,100,10.87,light snow
223,Camana,PE,-16.6228,-72.7111,63.75,85,80,7.61,broken clouds
224,Luderitz,NA,-26.6481,15.1594,71.1,35,6,4.21,clear sky
225,San Policarpo,PH,12.1791,125.5072,83.32,75,59,11.83,broken clouds
226,Chapais,CA,49.7834,-74.8492,56.98,95,100,7.99,overcast clouds
227,Kabo,CF,7.6994,18.629,72.21,96,100,3.76,overcast clouds
228,Esperance,AU,-33.8667,121.9,63.19,41,100,23.31,overcast clouds
229,Mancio Lima,BR,-7.6142,-72.8958,80.8,68,67,2.77,broken clouds
230,Solton,RU,52.8429,86.4787,42.93,72,100,4.32,overcast clouds
231,Fairbanks,US,64.8378,-147.7164,37.6,94,90,4.61,light snow
232,Bhunya,SZ,-26.55,31.0167,52.68,79,99,1.99,overcast clouds
233,Palauig,PH,15.435,119.9045,82.38,83,100,16.2,light rain
234,San Francisco,US,37.7749,-122.4194,82.47,66,0,5.01,clear sky
235,Mar Del Plata,AR,-38.0023,-57.5575,58.08,58,0,8.99,clear sky
236,Saint-Pierre,RE,-21.3393,55.4781,71.24,71,0,6.91,clear sky
237,Pisco,PE,-13.7,-76.2167,62.02,90,24,2.86,few clouds
238,Jhargram,IN,22.45,86.9833,76.05,76,12,6.49,few clouds
239,De-Kastri,RU,51.4667,140.7833,42.66,93,100,23.11,light rain
240,Axim,GH,4.8699,-2.2405,75.85,91,100,6.11,light rain
241,Kapuskasing,CA,49.4169,-82.4331,66.29,77,90,6.91,overcast clouds
242,Saldanha,ZA,-33.0117,17.9442,61.7,49,89,8.16,overcast clouds
243,Hasaki,JP,35.7333,140.8333,77.29,67,35,15.12,scattered clouds
244,Padang,ID,-0.9492,100.3543,75.09,93,100,2.01,overcast clouds
245,Masallatah,LY,32.6167,14.0,69.76,70,0,9.95,clear sky
246,Payo,ID,-3.7508,103.6372,77.49,82,87,0.87,overcast clouds
247,Surt,LY,31.2089,16.5887,75.43,69,72,11.14,broken clouds
248,Ballina,AU,-28.8667,153.5667,78.84,61,40,5.75,scattered clouds
249,Vao,NC,-22.6667,167.4833,70.48,63,4,13.27,clear sky
250,Hambantota,LK,6.1241,81.1185,79.45,82,97,18.39,overcast clouds
251,Ossora,RU,59.2353,163.0719,36.82,59,9,3.29,clear sky
252,Chern,RU,53.4523,36.9145,38.8,75,1,1.14,clear sky
253,Santa Rosa,PH,14.3122,121.1114,85.1,79,94,18.03,overcast clouds
254,Boyolangu,ID,-8.1181,111.8935,77.04,78,98,7.52,overcast clouds
255,Praia,CV,14.9215,-23.5087,78.12,82,0,12.28,clear sky
256,Faya,SA,18.3851,42.4509,61.84,32,32,8.39,scattered clouds
257,Ostrovnoy,RU,68.0531,39.5131,42.91,94,100,3.96,overcast clouds
258,Yumen,CN,40.2833,97.2,36.32,31,25,11.1,scattered clouds
259,Tucurui,BR,-3.7661,-49.6725,81.43,64,84,4.32,broken clouds
260,Port Blair,IN,11.6667,92.75,80.92,84,100,16.28,overcast clouds
261,Kargasok,RU,59.0556,80.8572,26.35,73,3,6.29,clear sky
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,49.01,91,95,11.88,overcast clouds
263,Kasongo-Lunda,CD,-6.4667,16.8167,71.35,94,96,2.46,overcast clouds
264,Lakes Entrance,AU,-37.8811,147.981,57.16,59,12,7.7,few clouds
265,Guararapes,BR,-21.2608,-50.6428,67.12,93,100,7.63,overcast clouds
266,Te Anau,NZ,-45.4167,167.7167,37.0,99,100,2.55,moderate rain
267,Sfantu Gheorghe,RO,45.8667,25.7833,38.93,52,77,4.94,broken clouds
268,Tambura,SS,5.6,27.4667,71.24,90,100,2.64,overcast clouds
269,Coquimbo,CL,-29.9533,-71.3436,57.16,73,6,4.83,clear sky
270,Kilrush,IE,52.6397,-9.4833,46.15,88,41,2.39,scattered clouds
271,Kalengwa,ZM,-13.4659,25.0027,71.49,31,3,5.35,clear sky
272,Zyryanka,RU,65.75,150.85,25.97,60,18,11.97,few clouds
273,Brae,GB,60.3964,-1.353,46.31,77,53,21.9,broken clouds
274,Pringsewu,ID,-5.3582,104.9744,78.01,87,100,3.38,overcast clouds
275,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,5.75,broken clouds
276,Vaitape,PF,-16.5167,-151.75,79.77,74,45,12.86,scattered clouds
277,Kimbe,PG,-5.5502,150.1429,86.52,64,61,3.2,broken clouds
278,Zharkent,KZ,44.1628,80.0,42.94,80,100,5.99,overcast clouds
279,Neiafu,TO,-18.65,-173.9833,76.55,77,100,8.01,overcast clouds
280,Laizhou,CN,37.1717,119.9214,60.58,50,35,8.1,light rain
281,Khvoynaya,RU,58.9,34.5333,40.41,81,17,7.34,few clouds
282,Dingle,PH,10.9995,122.6711,78.33,92,96,11.77,overcast clouds
283,Urumqi,CN,43.801,87.6005,38.35,65,0,6.71,clear sky
284,Price,US,39.5994,-110.8107,61.12,30,0,7.05,clear sky
285,Mackay,AU,-21.15,149.2,83.68,56,27,7.07,scattered clouds
286,Qaqortoq,GL,60.7167,-46.0333,30.7,50,19,3.53,few clouds
287,Mount Isa,AU,-20.7333,139.5,67.77,100,90,11.5,moderate rain
288,Energeticheskiy,KZ,43.4278,77.0222,41.56,87,90,6.71,light intensity shower rain
289,Kolokani,ML,13.5728,-8.0339,80.64,51,99,7.7,overcast clouds
290,Harper,LR,4.375,-7.7169,77.76,88,98,9.53,overcast clouds
291,Babushkin,RU,51.7122,105.8647,41.52,62,0,6.96,clear sky
292,Rancharia,BR,-22.2292,-50.8931,62.89,91,100,10.89,overcast clouds
293,Sioux Lookout,CA,50.1001,-91.917,59.38,93,94,8.19,overcast clouds
294,Sitka,US,57.0531,-135.33,49.44,74,61,3.67,broken clouds
295,Beringovskiy,RU,63.05,179.3167,28.53,85,96,12.01,overcast clouds
296,Vigrestad,NO,58.5667,5.7,51.58,76,57,24.63,broken clouds
297,Oban,GB,56.4127,-5.4706,51.85,80,100,6.91,overcast clouds
298,Blagoyevo,RU,63.3667,47.9167,47.75,95,100,10.02,overcast clouds
299,Narsaq,GL,60.9167,-46.05,30.42,47,19,2.42,few clouds
300,Pundaguitan,PH,6.3711,126.1689,84.54,70,88,9.46,overcast clouds
301,Kinston,US,35.2627,-77.5816,75.09,78,90,9.22,overcast clouds
302,Lazaro Cardenas,MX,17.9583,-102.2,81.27,84,69,7.09,broken clouds
303,Cayenne,GF,4.9333,-52.3333,83.08,81,0,3.0,clear sky
304,Geraldton,AU,-28.7667,114.6,57.61,82,40,5.75,scattered clouds
305,Codrington,AU,-38.2667,141.9667,53.31,56,74,11.03,broken clouds
306,Arkhara,RU,49.4212,130.0842,42.46,71,0,12.59,clear sky
307,Ambulu,ID,-8.345,113.6058,78.06,73,87,3.06,overcast clouds
308,Yagodnoye,RU,62.55,149.6667,17.51,71,12,2.42,few clouds
309,Lisakovsk,KZ,52.5369,62.4936,39.74,90,100,4.12,light rain
310,Saint-Joseph,RE,-21.3667,55.6167,70.16,84,2,5.59,clear sky
311,Marzuq,YE,14.4,46.4667,76.6,61,41,2.53,scattered clouds
312,Kangaatsiaq,GL,68.3065,-53.4641,34.09,76,98,9.15,overcast clouds
313,Pangnirtung,CA,66.1451,-65.7125,28.4,100,75,0.0,fog
314,Midyat,TR,37.4247,41.3393,43.52,16,0,6.35,clear sky
315,Viedma,AR,-40.8135,-62.9967,58.35,56,0,18.16,clear sky
316,Kahului,US,20.8947,-156.47,78.84,82,36,18.01,scattered clouds
317,Madinat Sittah Uktubar,EG,29.8167,31.05,71.56,80,0,15.43,clear sky
318,Norman Wells,CA,65.282,-126.8329,31.03,87,96,6.98,overcast clouds
319,Novaya Malykla,RU,54.2,49.95,45.72,74,100,4.21,overcast clouds
320,Scarborough,GB,54.2797,-0.4044,50.54,84,68,12.73,broken clouds
321,Chuy,UY,-33.6971,-53.4616,60.6,78,97,13.8,overcast clouds
322,Matara,LK,5.9485,80.5353,77.92,89,88,12.41,overcast clouds
323,Tromso,NO,69.6496,18.957,45.37,93,90,5.75,overcast clouds
324,Bengkulu,ID,-3.8004,102.2655,76.06,90,92,5.26,light rain
325,Qui Nhon,VN,13.7667,109.2333,79.18,85,100,4.25,overcast clouds
326,Hermosillo,MX,29.0667,-110.9667,94.39,12,0,5.99,clear sky
327,Milkovo,RU,54.7167,158.6167,33.37,81,100,8.52,light snow
328,Clearlake,US,38.9582,-122.6264,80.35,27,0,11.43,clear sky
329,Batemans Bay,AU,-35.7167,150.1833,60.19,49,93,8.01,overcast clouds
330,Casimiro De Abreu,BR,-22.4806,-42.2042,65.25,98,100,4.85,moderate rain
331,Plettenberg Bay,ZA,-34.0527,23.3716,61.5,52,69,5.7,broken clouds
332,Tezu,IN,27.9167,96.1667,74.32,74,2,3.02,clear sky
333,Bayan,CN,46.0833,127.4,46.85,54,0,12.68,clear sky
334,Samfya,ZM,-11.3649,29.5565,76.14,35,43,12.1,scattered clouds
335,Laibin,CN,23.7,109.2667,67.1,81,99,20.67,overcast clouds
336,Port Hedland,AU,-20.3167,118.5667,80.65,16,29,17.27,scattered clouds
337,Tazovskiy,RU,67.4667,78.7,28.38,80,62,15.82,broken clouds
338,Libertador General San Martin,AR,-23.8064,-64.7876,69.35,75,22,3.56,few clouds
339,Pangody,RU,65.85,74.4859,26.92,93,43,8.68,scattered clouds
340,Champerico,GT,14.3,-91.9167,85.77,79,100,8.52,overcast clouds
341,Kibala,TD,9.1104,18.3463,73.72,94,97,3.85,overcast clouds
342,Makkaveyevo,RU,51.7533,113.9454,30.92,68,3,1.28,clear sky
343,Tilichiki,RU,60.4667,166.1,30.79,62,47,3.49,scattered clouds
344,Udachnyy,RU,66.4167,112.4,21.18,92,100,19.28,light snow
345,Raudeberg,NO,61.9875,5.1352,47.19,78,100,17.6,overcast clouds
